ssbid_5000m,pop_tot,pop_mal,pop_fem,pop_ave2,geom_wkt
21000006475000,55,32,23,43.9,"MULTIPOLYGON(((8.181237723303228 58.2336735753551,8.172630006919102 58.27826381908232,8.25728956596838 58.28277701642015,8.265792533702715 58.23817897045093,8.181237723303228 58.2336735753551)))"
21050006475000,230,117,113,35.8,"MULTIPOLYGON(((8.265792533702715 58.23817897045093,8.25728956596838 58.28277701642015,8.341974631767663 58.28723436307862,8.350372745140444 58.24262860947337,8.265792533702715 58.23817897045093)))"
21100006475000,6268,3141,3127,41.5,"MULTIPOLYGON(((8.350372745140444 58.24262860947337,8.341974631767663 58.28723436307862,8.426684897136285 58.29163582455987,8.434978051664533 58.24702245805618,8.350372745140444 58.24262860947337)))"
21150006475000,984,476,508,40.1,"MULTIPOLYGON(((8.434978051664533 58.24702245805618,8.426684897136285 58.29163582455987,8.511420054308264 58.295981366780104,8.519608146741824 58.251360482245595,8.434978051664533 58.24702245805618)))"
21200006475000,107,53,54,38.7,"MULTIPOLYGON(((8.519608146741824 58.251360482245595,8.511420054308264 58.295981366780104,8.5961797949389 58.30027095607037,8.604262723264435 58.25564264850128,8.519608146741824 58.251360482245595)))"
20000006480000,4,3,1,0,"MULTIPOLYGON(((6.485262843987998 58.176327979720135,6.474552397740261 58.220740975282,6.558740948648174 58.22637300131704,6.569348718512155 58.181950317458586,6.485262843987998 58.176327979720135)))"
20050006480000,156,78,78,44.5,"MULTIPOLYGON(((6.569348718512155 58.181950317458586,6.558740948648174 58.22637300131704,6.642961147229396 58.23194986012688,6.653466110617987 58.187517579849874,6.569348718512155 58.181950317458586)))"
20100006480000,77,43,34,50.3,"MULTIPOLYGON(((6.653466110617987 58.187517579849874,6.642961147229396 58.23194986012688,6.727212698197476 58.23747150898899,6.737614726164341 58.193029724332675,6.653466110617987 58.187517579849874)))"
20150006480000,39,18,21,52.9,"MULTIPOLYGON(((6.737614726164341 58.193029724332675,6.727212698197476 58.23747150898899,6.811495305551138 58.24293790557498,6.82179427030012 58.19848670873838,6.737614726164341 58.193029724332675)))"
20200006480000,32,16,16,48.7,"MULTIPOLYGON(((6.82179427030012 58.19848670873838,6.811495305551138 58.24293790557498,6.895808672580185 58.24834900795178,6.906004447470138 58.20388849129238,6.82179427030012 58.19848670873838)))"
20250006480000,21,12,9,24.1,"MULTIPOLYGON(((6.906004447470138 58.20388849129238,6.895808672580185 58.24834900795178,6.980152501871451 58.25370477458278,6.990244961421036 58.20923503061506,6.906004447470138 58.20388849129238)))"
20300006480000,16,10,6,37.4,"MULTIPOLYGON(((6.990244961421036 58.20923503061506,6.980152501871451 58.25370477458278,7.064526495314807 58.259005164328926,7.074515515207238 58.214526285723096,6.990244961421036 58.20923503061506)))"
20350006480000,61,33,28,43,"MULTIPOLYGON(((7.074515515207238 58.214526285723096,7.064526495314807 58.259005164328926,7.148930354109164 58.26425013644996,7.158815811196948 58.21976221603039,7.074515515207238 58.214526285723096)))"
20400006480000,329,173,156,37.4,"MULTIPOLYGON(((7.158815811196948 58.21976221603039,7.148930354109164 58.26425013644996,7.233363778768565 58.269439650605435,7.243145551078168 58.22494278134937,7.158815811196948 58.21976221603039)))"
20450006480000,40,20,20,43.9,"MULTIPOLYGON(((7.243145551078168 58.22494278134937,7.233363778768565 58.269439650605435,7.317826469128282 58.274573666855886,7.32750443586479 58.23006794189192,7.243145551078168 58.22494278134937)))"
20500006480000,166,89,77,39.8,"MULTIPOLYGON(((7.32750443586479 58.23006794189192,7.317826469128282 58.274573666855886,7.402318124350956 58.27965214566393,7.411892165902668 58.23513765827067,7.32750443586479 58.23006794189192)))"
20550006480000,104,60,44,40.7,"MULTIPOLYGON(((7.411892165902668 58.23513765827067,7.402318124350956 58.27965214566393,7.486838442932787 58.28467504789535,7.496308440875793 58.240151891499885,7.411892165902668 58.23513765827067)))"
20600006480000,230,117,113,42.8,"MULTIPOLYGON(((7.496308440875793 58.240151891499885,7.486838442932787 58.28467504789535,7.571387122709757 58.28964233482016,7.58075295981246 58.2451106029967,7.496308440875793 58.240151891499885)))"
20650006480000,517,276,241,37.1,"MULTIPOLYGON(((7.58075295981246 58.2451106029967,7.571387122709757 58.28964233482016,7.655963860863881 58.294553968113746,7.665225421091481 58.25001375458212,7.58075295981246 58.2451106029967)))"
20700006480000,234,123,111,38.2,"MULTIPOLYGON(((7.665225421091481 58.25001375458212,7.655963860863881 58.294553968113746,7.740568353929509 58.29940990985781,7.749725522448466 58.254861308482035,7.665225421091481 58.25001375458212)))"
20750006480000,459,237,222,37.3,"MULTIPOLYGON(((7.749725522448466 58.254861308482035,7.740568353929509 58.29940990985781,7.825200297799651 58.30421012254152,7.834252960982076 58.25965322732833,7.749725522448466 58.254861308482035)))"
